DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
203.6756,92.7589,1.8066,1.5307,0.654112201,9.9054,61.6715,1.0454,3606011.322,1946.0
203.828,94.2645,1.8081,1.5344,0.680511647,9.8629,61.861,1.0564,3611705.787,1946.0
203.9804,91.9385,1.788,1.5368,0.639727168,9.9118,57.2769,1.0427,3574226.161,1944.0
204.1328,94.6436,1.7768,1.5361,0.687158851,9.9166,59.397,1.0745,3554490.959,1946.0
204.2852,92.9718,1.7705,1.5371,0.657845226,9.8583,61.9671,1.0515,3544532.077,1949.0
204.4376,94.4901,1.7622,1.5434,0.684467356,9.7255,59.4654,1.0366,3530547.399,1944.0
204.59,90.8176,1.7563,1.553,0.620073117,9.7255,59.8757,1.0035,3521349.887,1942.0
204.7424,90.2104,1.7548,1.5567,0.60942637,9.6905,58.2101,1.036,3520963.242,1949.0
204.8948,86.2076,1.7634,1.5508,0.539240595,9.7508,66.2847,0.9909,3540852.605,1947.0
205.0472,86.5918,1.7694,1.5413,0.545977223,9.7336,60.34,0.9936,3555543.054,1945.0
205.1996,87.2636,1.7629,1.5325,0.557756678,9.6894,60.0437,1.0071,3545114.473,1953.0
205.352,92.9323,1.7633,1.5262,0.657152626,9.7193,57.7317,1.0303,3548552.38,1945.0
205.5044,94.3825,1.7611,1.5236,0.682580679,9.6442,62.1594,1.0115,3546755.229,1947.0
205.6568,94.2628,1.7682,1.5228,0.680481839,9.7091,61.0373,0.9971,3563695.067,1947.0
205.8092,91.9868,1.7742,1.5231,0.640574069,9.7147,61.7408,1.0112,3578437.49,1948.0
205.9616,93.8754,1.7802,1.5246,0.673689102,9.7617,62.8006,1.0164,3593197.835,1947.0
206.114,96.1508,1.7905,1.5248,0.713586351,9.8324,59.0069,1.0266,3616661.747,1946.0
206.2664,97.4506,1.7912,1.5236,0.736377265,9.8315,62.4127,1.0031,3620750.882,1944.0
206.4188,96.1012,1.7859,1.5229,0.712716657,9.8513,61.977,0.9842,3612704.682,1946.0
206.5712,94.3848,1.7724,1.5221,0.682621008,9.8024,63.233,1.0049,3588042.59,1947.0
206.7236,96.484,1.7718,1.5212,0.719428737,9.8894,59.7707,1.022,3589474.17,1949.0
206.876,98.4278,1.7689,1.5219,0.753511656,9.8792,60.2587,0.9871,3586240.973,1948.0
207.0284,100.2644,1.7747,1.5235,0.785714912,9.8867,58.2118,0.9794,3600650.355,1950.0
207.1808,97.9885,1.7711,1.5241,0.745808895,9.8204,63.0999,1.0413,3595991.566,1948.0
207.3332,98.0579,1.7709,1.5232,0.747025766,9.7497,61.3793,0.9985,3598230.366,1949.0
207.4856,97.5662,1.7648,1.5227,0.738404215,9.6958,63.4628,0.9852,3588471.751,1948.0
207.638,95.6215,1.7606,1.525,0.704305515,9.6343,62.287,1.0288,3582561.135,1946.0
207.7904,95.49,1.7713,1.5276,0.701999772,9.6863,62.373,1.0599,3606979.528,1948.996
207.9428,94.971,1.7829,1.529,0.692899538,9.7173,62.5662,0.9889,3633263.938,1948.0
208.0952,98.9056,1.7768,1.5299,0.761889482,9.6722,59.8727,1.0565,3623486.803,1948.0
208.2476,101.425,1.7681,1.5301,0.806065069,9.602,60.1448,1.0985,3608385.299,1951.0
